,pathway,gene_name,SNPS,PUBMEDID,STUDY,FIRST AUTHOR,DATE,P-VALUE,SAMPLE_SIZE,MAPPED_TRAIT
41,Insulin secretion,GCKR,rs1260326,34594039,A cross-population atlas of genetic associations for 220 human phenotypes.,Sakaue S,2021-09-30,8e-70,448252.0,Glucose
42,Insulin secretion,GCKR,rs1260326,34594039,A cross-population atlas of genetic associations for 220 human phenotypes.,Sakaue S,2021-09-30,2e-19,133336.0,Glucose
43,Insulin secretion,GCKR,rs1260326,39024449,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Verma A,2024-07-19,2.0000000000000002e-82,419946.0,Glucose
44,Insulin secretion,GCKR,rs1260326,39024449,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Verma A,2024-07-19,2e-48,601780.0,Glucose
45,Insulin secretion,GCKR,rs1260326,39024449,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Verma A,2024-07-19,5e-43,419671.0,Glucose
46,Insulin secretion,GCKR,rs1260326,39024449,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Verma A,2024-07-19,5e-27,601111.0,Glucose
47,Insulin secretion,GCKR,rs780093,39024449,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Verma A,2024-07-19,9.999999999999999e-27,419287.0,Glucose
48,Insulin secretion,GCKR,rs780094,33462484,Genetics of 35 blood and urine biomarkers in the UK Biobank.,Sinnott-Armstrong N,2021-01-18,4e-53,325386.0,Glucose
49,Insulin secretion,GCKR,rs780094,37679419,"GWAS of random glucose in 476,326 individuals provide insights into diabetes pathophysiology, complications and treatment stratification.",Lagou V,2023-09-07,1e-35,458862.0,Glucose
50,Insulin secretion,GCKR,rs780094,37679419,"GWAS of random glucose in 476,326 individuals provide insights into diabetes pathophysiology, complications and treatment stratification.",Lagou V,2023-09-07,3e-35,475416.0,Glucose
51,Insulin secretion,GCKR,rs780094,39024449,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Verma A,2024-07-19,1e-21,600867.0,Glucose
52,Insulin secretion,INS,rs3842752,33462484,Genetics of 35 blood and urine biomarkers in the UK Biobank.,Sinnott-Armstrong N,2021-01-18,2e-18,325386.0,Glucose
53,Insulin secretion,INS,rs3842752,38448586,Genome-wide characterization of circulating metabolic biomarkers.,Karjalainen MK,2024-03-06,8e-15,136016.0,Glucose
54,Insulin secretion,INS,rs3842752,39024449,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Verma A,2024-07-19,3e-11,600867.0,Glucose
55,Insulin secretion,INS,rs3842753,34059833,The trans-ancestral genomic architecture of glycemic traits.,Chen J,2021-05-31,3e-09,200622.0,Glucose
56,Insulin secretion,INS,rs3842753,37679419,"GWAS of random glucose in 476,326 individuals provide insights into diabetes pathophysiology, complications and treatment stratification.",Lagou V,2023-09-07,1e-21,458862.0,Glucose
57,Insulin secretion,INS,rs3842753,37679419,"GWAS of random glucose in 476,326 individuals provide insights into diabetes pathophysiology, complications and treatment stratification.",Lagou V,2023-09-07,1e-21,475416.0,Glucose
58,Insulin secretion,SLC30A8,rs11558471,39024449,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Verma A,2024-07-19,6e-113,419671.0,Glucose
59,Insulin secretion,SLC30A8,rs11558471,39024449,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Verma A,2024-07-19,2.9999999999999995e-70,601111.0,Glucose
60,Insulin secretion,SLC30A8,rs13266634,29403010,Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.,Kanai M,2018-02-05,2e-19,93146.0,Glucose
61,Insulin secretion,SLC30A8,rs13266634,34594039,A cross-population atlas of genetic associations for 220 human phenotypes.,Sakaue S,2021-09-30,3.9999999999999997e-25,133336.0,Glucose
62,Insulin secretion,SLC30A8,rs13266634,35213538,Characterising metabolomic signatures of lipid-modifying therapies through drug target mendelian randomisation.,Richardson TG,2022-02-25,5e-13,114870.0,Glucose
63,Insulin secretion,SLC30A8,rs13266634,36764567,Metabolomic Investigation of Major Depressive Disorder Identifies a Potentially Causal Association With Polyunsaturated Fatty Acids.,Davyson E,2023-02-09,8e-11,88174.0,Glucose
64,Insulin secretion,SLC30A8,rs13266634,39024449,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Verma A,2024-07-19,9e-101,601780.0,Glucose
65,Ketone metabolism,AACS,rs55657684,34594039,A cross-population atlas of genetic associations for 220 human phenotypes.,Sakaue S,2021-09-30,2e-09,448252.0,Glucose
66,Ketone metabolism,AACS,rs60983647,33462484,Genetics of 35 blood and urine biomarkers in the UK Biobank.,Sinnott-Armstrong N,2021-01-18,2e-09,325386.0,Glucose
67,Triglyceride biosynthesis,DGAT1,rs3757974,34594039,A cross-population atlas of genetic associations for 220 human phenotypes.,Sakaue S,2021-09-30,2e-12,448252.0,Glucose
68,Triglyceride biosynthesis,DGAT1,rs3757974,39024449,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Verma A,2024-07-19,2e-18,601780.0,Glucose
69,Triglyceride biosynthesis,DGAT1,rs3757974,39024449,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Verma A,2024-07-19,1e-15,601111.0,Glucose
