,pathway,gene_name,SNPS,PUBMEDID,STUDY,FIRST AUTHOR,DATE,P-VALUE,SAMPLE_SIZE,MAPPED_TRAIT
12,Insulin receptor signaling,INSR,rs10416539,38374256,Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.,Suzuki K,2024-02-19,1e-10,2535601.0,Type 2 diabetes
13,Insulin receptor signaling,INSR,rs10427109,38374256,Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.,Suzuki K,2024-02-19,5e-13,2535601.0,Type 2 diabetes
14,Insulin receptor signaling,INSR,rs17175860,32541925,Discovery of 318 new risk loci for type 2 diabetes and related vascular outcomes among 1.4 million participants in a multi-ancestry meta-analysis.,Vujkovic M,2020-06-15,3e-14,1114458.0,Type 2 diabetes
15,Insulin receptor signaling,INSR,rs4804420,38374256,Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.,Suzuki K,2024-02-19,5e-14,2535601.0,Type 2 diabetes
16,Insulin receptor signaling,INSR,rs7252150,39379762,"Rare variant analyses in 51,256 type 2 diabetes cases and 370,487 controls reveal the pathogenicity spectrum of monogenic diabetes genes.",Huerta-Chagoya A,2024-10-08,2e-09,421743.0,Type 2 diabetes
17,Insulin receptor signaling,INSR,rs75253922,30297969,Fine-mapping type 2 diabetes loci to single-variant resolution using high-density imputation and islet-specific epigenome maps.,Mahajan A,2018-10-08,3e-08,898130.0,Type 2 diabetes
18,Insulin receptor signaling,INSR,rs75253922,32541925,Discovery of 318 new risk loci for type 2 diabetes and related vascular outcomes among 1.4 million participants in a multi-ancestry meta-analysis.,Vujkovic M,2020-06-15,8e-14,1407282.0,Type 2 diabetes
19,Insulin receptor signaling,INSR,rs8101064,32499647,"Identification of type 2 diabetes loci in 433,540 East Asian individuals.",Spracklen CN,2020-05-06,4e-08,433540.0,Type 2 diabetes
20,Insulin receptor signaling,IRS2,rs9521510,38374256,Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.,Suzuki K,2024-02-19,1e-08,2535601.0,Type 2 diabetes
21,Insulin receptor signaling,PDE3B,rs118115876,38374256,Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.,Suzuki K,2024-02-19,2.0000000000000002e-24,2535601.0,Type 2 diabetes
22,Insulin receptor signaling,PDE3B,rs118115876,39379762,"Rare variant analyses in 51,256 type 2 diabetes cases and 370,487 controls reveal the pathogenicity spectrum of monogenic diabetes genes.",Huerta-Chagoya A,2024-10-08,2e-08,421743.0,Type 2 diabetes
23,Insulin receptor signaling,PDE3B,rs141521721,30297969,Fine-mapping type 2 diabetes loci to single-variant resolution using high-density imputation and islet-specific epigenome maps.,Mahajan A,2018-10-08,3e-08,898130.0,Type 2 diabetes
24,Insulin secretion,ERO1B,rs1726669,38374256,Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.,Suzuki K,2024-02-19,1e-08,2535601.0,Type 2 diabetes
25,Insulin secretion,ERO1B,rs1749602,39379762,"Rare variant analyses in 51,256 type 2 diabetes cases and 370,487 controls reveal the pathogenicity spectrum of monogenic diabetes genes.",Huerta-Chagoya A,2024-10-08,4e-08,421743.0,Type 2 diabetes
26,Insulin secretion,GCK,rs2010825,34594039,A cross-population atlas of genetic associations for 220 human phenotypes.,Sakaue S,2021-09-30,9e-11,667504.0,Type 2 diabetes
27,Insulin secretion,GCK,rs2908286,32541925,Discovery of 318 new risk loci for type 2 diabetes and related vascular outcomes among 1.4 million participants in a multi-ancestry meta-analysis.,Vujkovic M,2020-06-15,3e-29,1114458.0,Type 2 diabetes
28,Insulin secretion,GCK,rs2908296,38374256,Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.,Suzuki K,2024-02-19,1e-14,2535601.0,Type 2 diabetes
29,Insulin secretion,GCK,rs2971669,39379762,"Rare variant analyses in 51,256 type 2 diabetes cases and 370,487 controls reveal the pathogenicity spectrum of monogenic diabetes genes.",Huerta-Chagoya A,2024-10-08,9.999999999999999e-31,421743.0,Type 2 diabetes
30,Insulin secretion,GCK,rs730497,32541925,Discovery of 318 new risk loci for type 2 diabetes and related vascular outcomes among 1.4 million participants in a multi-ancestry meta-analysis.,Vujkovic M,2020-06-15,9.000000000000001e-29,1407282.0,Type 2 diabetes
31,Insulin secretion,GCK,rs730497,39024449,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Verma A,2024-07-19,1e-20,612947.0,Type 2 diabetes
32,Insulin secretion,GCK,rs730497,39024449,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Verma A,2024-07-19,6e-13,116014.0,Type 2 diabetes
33,Insulin secretion,GCKR,rs1260326,29632382,Refining the accuracy of validated target identification through coding variant fine-mapping in type 2 diabetes.,Mahajan A,2018-04-09,5e-25,452244.0,Type 2 diabetes
34,Insulin secretion,GCKR,rs1260326,29632382,Refining the accuracy of validated target identification through coding variant fine-mapping in type 2 diabetes.,Mahajan A,2018-04-09,3e-18,452244.0,Type 2 diabetes
35,Insulin secretion,GCKR,rs1260326,29632382,Refining the accuracy of validated target identification through coding variant fine-mapping in type 2 diabetes.,Mahajan A,2018-04-09,1e-15,298957.0,Type 2 diabetes
36,Insulin secretion,GCKR,rs1260326,29632382,Refining the accuracy of validated target identification through coding variant fine-mapping in type 2 diabetes.,Mahajan A,2018-04-09,1e-14,298957.0,Type 2 diabetes
37,Insulin secretion,GCKR,rs1260326,30297969,Fine-mapping type 2 diabetes loci to single-variant resolution using high-density imputation and islet-specific epigenome maps.,Mahajan A,2018-10-08,6.9999999999999995e-25,898130.0,Type 2 diabetes
38,Insulin secretion,GCKR,rs1260326,30595370,Leveraging Polygenic Functional Enrichment to Improve GWAS Power.,Kichaev G,2018-12-27,1e-15,459000.0,Type 2 diabetes
39,Insulin secretion,GCKR,rs1260326,32499647,"Identification of type 2 diabetes loci in 433,540 East Asian individuals.",Spracklen CN,2020-05-06,1e-21,433540.0,Type 2 diabetes
40,Insulin secretion,GCKR,rs1260326,32514122,Large-scale genome-wide association study in a Japanese population identifies novel susceptibility loci across different diseases.,Ishigaki K,2020-06-08,9e-20,210865.0,Type 2 diabetes
41,Insulin secretion,GCKR,rs1260326,32541925,Discovery of 318 new risk loci for type 2 diabetes and related vascular outcomes among 1.4 million participants in a multi-ancestry meta-analysis.,Vujkovic M,2020-06-15,2e-57,1407282.0,Type 2 diabetes
42,Insulin secretion,GCKR,rs1260326,32541925,Discovery of 318 new risk loci for type 2 diabetes and related vascular outcomes among 1.4 million participants in a multi-ancestry meta-analysis.,Vujkovic M,2020-06-15,2.9999999999999996e-42,1114458.0,Type 2 diabetes
43,Insulin secretion,GCKR,rs1260326,34594039,A cross-population atlas of genetic associations for 220 human phenotypes.,Sakaue S,2021-09-30,6e-29,667504.0,Type 2 diabetes
44,Insulin secretion,GCKR,rs1260326,35551307,Multi-ancestry genetic study of type 2 diabetes highlights the power of diverse populations for discovery and translation.,Mahajan A,2022-05-12,2e-35,492192.0,Type 2 diabetes
45,Insulin secretion,GCKR,rs1260326,35551307,Multi-ancestry genetic study of type 2 diabetes highlights the power of diverse populations for discovery and translation.,Mahajan A,2022-05-12,2e-22,251740.0,Type 2 diabetes
46,Insulin secretion,GCKR,rs1260326,35551307,Multi-ancestry genetic study of type 2 diabetes highlights the power of diverse populations for discovery and translation.,Mahajan A,2022-05-12,2e-13,139705.0,Type 2 diabetes
47,Insulin secretion,GCKR,rs1260326,38374256,Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.,Suzuki K,2024-02-19,3.9999999999999996e-86,2535601.0,Type 2 diabetes
48,Insulin secretion,GCKR,rs1260326,39024449,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Verma A,2024-07-19,8e-31,432648.0,Type 2 diabetes
49,Insulin secretion,GCKR,rs1260326,39024449,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Verma A,2024-07-19,3e-19,612947.0,Type 2 diabetes
50,Insulin secretion,GCKR,rs6547692,30718926,Identification of 28 new susceptibility loci for type 2 diabetes in the Japanese population.,Suzuki K,2019-02-04,4e-15,191764.0,Type 2 diabetes
51,Insulin secretion,GCKR,rs6547692,32541925,Discovery of 318 new risk loci for type 2 diabetes and related vascular outcomes among 1.4 million participants in a multi-ancestry meta-analysis.,Vujkovic M,2020-06-15,1e-15,216287.0,Type 2 diabetes
52,Insulin secretion,GCKR,rs780094,28869590,Identification of new susceptibility loci for type 2 diabetes and shared etiological pathways with coronary heart disease.,Zhao W,2017-09-04,2e-17,183651.0,Type 2 diabetes
53,Insulin secretion,GCKR,rs780094,30054458,Genome-wide association analyses identify 143 risk variants and putative regulatory mechanisms for type 2 diabetes.,Xue A,2018-07-27,5e-21,659316.0,Type 2 diabetes
54,Insulin secretion,GCKR,rs780094,39379762,"Rare variant analyses in 51,256 type 2 diabetes cases and 370,487 controls reveal the pathogenicity spectrum of monogenic diabetes genes.",Huerta-Chagoya A,2024-10-08,1e-20,421743.0,Type 2 diabetes
55,Insulin secretion,GCKR,rs8179236,38374256,Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.,Suzuki K,2024-02-19,2e-08,2535601.0,Type 2 diabetes
56,Insulin secretion,INS,rs1124699,38374256,Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.,Suzuki K,2024-02-19,6e-18,2535601.0,Type 2 diabetes
57,Insulin secretion,SLC30A8,rs10088883,38374256,Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.,Suzuki K,2024-02-19,1e-22,2535601.0,Type 2 diabetes
58,Insulin secretion,SLC30A8,rs11558471,32541925,Discovery of 318 new risk loci for type 2 diabetes and related vascular outcomes among 1.4 million participants in a multi-ancestry meta-analysis.,Vujkovic M,2020-06-15,4e-98,1114458.0,Type 2 diabetes
59,Insulin secretion,SLC30A8,rs11558471,39024449,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Verma A,2024-07-19,4e-87,432648.0,Type 2 diabetes
60,Insulin secretion,SLC30A8,rs13266634,28869590,Identification of new susceptibility loci for type 2 diabetes and shared etiological pathways with coronary heart disease.,Zhao W,2017-09-04,3.9999999999999995e-42,183651.0,Type 2 diabetes
61,Insulin secretion,SLC30A8,rs13266634,28869590,Identification of new susceptibility loci for type 2 diabetes and shared etiological pathways with coronary heart disease.,Zhao W,2017-09-04,2e-22,183651.0,Type 2 diabetes
62,Insulin secretion,SLC30A8,rs13266634,29632382,Refining the accuracy of validated target identification through coding variant fine-mapping in type 2 diabetes.,Mahajan A,2018-04-09,1e-47,452244.0,Type 2 diabetes
63,Insulin secretion,SLC30A8,rs13266634,29632382,Refining the accuracy of validated target identification through coding variant fine-mapping in type 2 diabetes.,Mahajan A,2018-04-09,2e-47,452244.0,Type 2 diabetes
64,Insulin secretion,SLC30A8,rs13266634,29632382,Refining the accuracy of validated target identification through coding variant fine-mapping in type 2 diabetes.,Mahajan A,2018-04-09,8e-36,298957.0,Type 2 diabetes
65,Insulin secretion,SLC30A8,rs13266634,29632382,Refining the accuracy of validated target identification through coding variant fine-mapping in type 2 diabetes.,Mahajan A,2018-04-09,6e-30,298957.0,Type 2 diabetes
66,Insulin secretion,SLC30A8,rs13266634,30718926,Identification of 28 new susceptibility loci for type 2 diabetes in the Japanese population.,Suzuki K,2019-02-04,3e-30,191764.0,Type 2 diabetes
67,Insulin secretion,SLC30A8,rs13266634,32499647,"Identification of type 2 diabetes loci in 433,540 East Asian individuals.",Spracklen CN,2020-05-06,4e-67,433540.0,Type 2 diabetes
68,Insulin secretion,SLC30A8,rs13266634,32514122,Large-scale genome-wide association study in a Japanese population identifies novel susceptibility loci across different diseases.,Ishigaki K,2020-06-08,1e-37,210865.0,Type 2 diabetes
69,Insulin secretion,SLC30A8,rs13266634,32541925,Discovery of 318 new risk loci for type 2 diabetes and related vascular outcomes among 1.4 million participants in a multi-ancestry meta-analysis.,Vujkovic M,2020-06-15,4e-136,1407282.0,Type 2 diabetes
70,Insulin secretion,SLC30A8,rs13266634,32541925,Discovery of 318 new risk loci for type 2 diabetes and related vascular outcomes among 1.4 million participants in a multi-ancestry meta-analysis.,Vujkovic M,2020-06-15,9.999999999999999e-31,216287.0,Type 2 diabetes
71,Insulin secretion,SLC30A8,rs13266634,34594039,A cross-population atlas of genetic associations for 220 human phenotypes.,Sakaue S,2021-09-30,2e-59,667504.0,Type 2 diabetes
72,Insulin secretion,SLC30A8,rs13266634,34594039,A cross-population atlas of genetic associations for 220 human phenotypes.,Sakaue S,2021-09-30,2e-40,177415.0,Type 2 diabetes
73,Insulin secretion,SLC30A8,rs13266634,35551307,Multi-ancestry genetic study of type 2 diabetes highlights the power of diverse populations for discovery and translation.,Mahajan A,2022-05-12,3e-101,492192.0,Type 2 diabetes
74,Insulin secretion,SLC30A8,rs13266634,35551307,Multi-ancestry genetic study of type 2 diabetes highlights the power of diverse populations for discovery and translation.,Mahajan A,2022-05-12,9.999999999999999e-55,251740.0,Type 2 diabetes
75,Insulin secretion,SLC30A8,rs13266634,35551307,Multi-ancestry genetic study of type 2 diabetes highlights the power of diverse populations for discovery and translation.,Mahajan A,2022-05-12,9.999999999999999e-51,139705.0,Type 2 diabetes
76,Insulin secretion,SLC30A8,rs13266634,38374256,Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.,Suzuki K,2024-02-19,2e-219,2535601.0,Type 2 diabetes
77,Insulin secretion,SLC30A8,rs13266634,39024449,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Verma A,2024-07-19,1e-51,612947.0,Type 2 diabetes
78,Insulin secretion,SLC30A8,rs147643814,38374256,Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.,Suzuki K,2024-02-19,2e-08,2535601.0,Type 2 diabetes
79,Insulin secretion,SLC30A8,rs3802177,24509480,Genome-wide trans-ancestry meta-analysis provides insight into the genetic architecture of type 2 diabetes susceptibility.,Mahajan A,2014-02-09,2e-18,110452.0,Type 2 diabetes
80,Insulin secretion,SLC30A8,rs3802177,30054458,Genome-wide association analyses identify 143 risk variants and putative regulatory mechanisms for type 2 diabetes.,Xue A,2018-07-27,2e-52,659316.0,Type 2 diabetes
81,Insulin secretion,SLC30A8,rs3802177,30297969,Fine-mapping type 2 diabetes loci to single-variant resolution using high-density imputation and islet-specific epigenome maps.,Mahajan A,2018-10-08,1e-55,898130.0,Type 2 diabetes
82,Insulin secretion,SLC30A8,rs3802177,30595370,Leveraging Polygenic Functional Enrichment to Improve GWAS Power.,Kichaev G,2018-12-27,2.0000000000000002e-24,459000.0,Type 2 diabetes
83,Insulin secretion,SLC30A8,rs4876702,38374256,Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.,Suzuki K,2024-02-19,2e-15,2535601.0,Type 2 diabetes
84,Insulin secretion,SLC30A8,rs531347476,30718926,Identification of 28 new susceptibility loci for type 2 diabetes in the Japanese population.,Suzuki K,2019-02-04,3e-08,191764.0,Type 2 diabetes
85,Insulin secretion,SLC30A8,rs73317613,38374256,Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.,Suzuki K,2024-02-19,9e-12,2535601.0,Type 2 diabetes
86,Insulin secretion,SLC30A8,rs78086284,38374256,Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.,Suzuki K,2024-02-19,3e-08,2535601.0,Type 2 diabetes
87,Lactate metabolism,LDHB,rs11046164,32541925,Discovery of 318 new risk loci for type 2 diabetes and related vascular outcomes among 1.4 million participants in a multi-ancestry meta-analysis.,Vujkovic M,2020-06-15,4e-10,1407282.0,Type 2 diabetes
88,Lactate metabolism,LDHB,rs34084105,38374256,Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.,Suzuki K,2024-02-19,2e-14,2535601.0,Type 2 diabetes
89,Lactate metabolism,PKLR,rs3020781,32541925,Discovery of 318 new risk loci for type 2 diabetes and related vascular outcomes among 1.4 million participants in a multi-ancestry meta-analysis.,Vujkovic M,2020-06-15,7e-12,1407282.0,Type 2 diabetes
90,Lactate metabolism,PKLR,rs3020781,32541925,Discovery of 318 new risk loci for type 2 diabetes and related vascular outcomes among 1.4 million participants in a multi-ancestry meta-analysis.,Vujkovic M,2020-06-15,1e-10,1114458.0,Type 2 diabetes
91,Triglyceride biosynthesis,DGAT1,rs3757974,38374256,Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.,Suzuki K,2024-02-19,2.0000000000000002e-29,2535601.0,Type 2 diabetes
92,Triglyceride biosynthesis,DGAT1,rs3757974,39024449,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Verma A,2024-07-19,2e-11,612947.0,Type 2 diabetes
93,Triglyceride biosynthesis,DGAT1,rs3890400,35551307,Multi-ancestry genetic study of type 2 diabetes highlights the power of diverse populations for discovery and translation.,Mahajan A,2022-05-12,9e-15,492192.0,Type 2 diabetes
94,Triglyceride biosynthesis,DGAT1,rs3890400,35551307,Multi-ancestry genetic study of type 2 diabetes highlights the power of diverse populations for discovery and translation.,Mahajan A,2022-05-12,3e-13,251740.0,Type 2 diabetes
